X,Y,Z,Cost
48,476,255,43446
48,477,255,43354
48,478,255,43316
48,479,255,43394
56,276,186,43476
57,275,187,43220
57,276,186,43136
57,277,185,43368
58,275,187,43136
58,276,186,43048
58,276,187,43492
58,277,185,43252
59,275,187,43294
59,276,186,43202
59,276,187,43482
59,277,185,43348
113,302,184,42992
113,302,185,43100
113,303,184,43412
113,303,185,42932
113,303,186,43302
114,300,184,42880
114,300,185,43086
114,301,184,42914
114,301,185,42274
114,301,186,42756
114,302,184,43144
114,302,185,42566
114,302,186,42266
114,302,187,42906
114,303,185,43112
114,303,186,42874
114,303,187,42856
115,299,184,42578
115,299,185,42618
115,299,186,43156
115,300,184,42930
115,300,185,42220
115,300,186,42140
115,300,187,42970
115,301,184,43190
115,301,185,42530
115,301,186,42144
115,301,187,42098
115,301,188,43046
115,302,184,43490
115,302,185,42892
115,302,186,42560
115,302,187,42454
115,302,188,42372
115,302,189,43394
115,303,186,43232
115,303,187,43182
115,303,188,43126
115,303,189,43096
116,298,183,43496
116,298,184,42444
116,298,185,42472
116,298,186,42998
116,299,184,42878
116,299,185,42132
116,299,186,41842
116,299,187,42654
116,300,184,43314
116,300,185,42596
116,300,186,42140
116,300,187,41934
116,300,188,42562
116,301,185,42984
116,301,186,42572
116,301,187,42390
116,301,188,42258
116,301,189,42700
116,302,185,43412
116,302,186,43052
116,302,187,42916
116,302,188,42796
116,302,189,42662
116,302,190,43144
116,303,189,43484
116,303,190,43356
117,297,183,43204
117,297,184,42412
117,297,185,42538
117,297,186,43056
117,298,184,42744
117,298,185,41962
117,298,186,41798
117,298,187,42602
117,299,184,43282
117,299,185,42530
117,299,186,42038
117,299,187,41800
117,299,188,42368
117,299,189,43310
117,300,185,43084
117,300,186,42616
117,300,187,42392
117,300,188,42232
117,300,189,42330
117,300,190,43386
117,301,186,43124
117,301,187,42920
117,301,188,42766
117,301,189,42630
117,301,190,42580
117,302,188,43358
117,302,189,43218
117,302,190,43104
117,302,191,43192
118,296,183,42974
118,296,184,42702
118,296,185,42810
118,296,186,43316
118,297,183,43486
118,297,184,42400
118,297,185,41586
118,297,186,41946
118,297,187,42738
118,298,184,43120
118,298,185,42330
118,298,186,41798
118,298,187,41544
118,298,188,42378
118,298,189,43308
118,299,185,42984
118,299,186,42478
118,299,187,42232
118,299,188,42072
118,299,189,42190
118,299,190,43242
118,300,186,43136
118,300,187,42904
118,300,188,42742
118,300,189,42618
118,300,190,42570
118,301,188,43346
118,301,189,43214
118,301,190,43148
118,301,191,43226
119,295,184,43354
119,295,185,43446
119,296,183,43130
119,296,184,42016
119,296,185,41892
119,296,186,42360
119,296,187,43138
119,297,184,42728
119,297,185,41904
119,297,186,41340
119,297,187,41768
119,297,188,42634
119,298,185,42734
119,298,186,42190
119,298,187,41926
119,298,188,41762
119,298,189,42314
119,298,190,43362
119,299,185,43456
119,299,186,42938
119,299,187,42682
119,299,188,42518
119,299,189,42420
119,299,190,42432
119,299,191,43494
119,300,187,43424
119,300,188,43258
119,300,189,43150
119,300,190,43146
119,300,191,43294
120,295,183,42948
120,295,184,42630
120,295,185,42682
120,295,186,43136
120,296,183,43438
120,296,184,42298
120,296,185,41438
120,296,186,41570
120,296,187,42306
120,296,188,43168
120,297,184,43090
120,297,185,42248
120,297,186,41668
120,297,187,41384
120,297,188,41794
120,297,189,42714
120,298,185,43148
120,298,186,42588
120,298,187,42314
120,298,188,42154
120,298,189,42092
120,298,190,42538
120,299,186,43408
120,299,187,43140
120,299,188,42980
120,299,189,42902
120,299,190,42948
120,299,191,43166
121,295,183,43416
121,295,184,42244
121,295,185,42162
121,295,186,42574
121,295,187,43294
121,296,184,42832
121,296,185,41938
121,296,186,41316
121,296,187,41712
121,296,188,42552
121,296,189,43478
121,297,185,42818
121,297,186,42204
121,297,187,41894
121,297,188,41728
121,297,189,42104
121,297,190,43146
121,298,186,43178
121,298,187,42876
121,298,188,42704
121,298,189,42644
121,298,190,42718
121,298,191,43174
121,299,189,43500
122,295,184,42822
122,295,185,41912
122,295,186,42282
122,295,187,42972
122,296,184,43500
122,296,185,42576
122,296,186,41928
122,296,187,41612
122,296,188,42222
122,296,189,43136
122,297,186,42882
122,297,187,42562
122,297,188,42406
122,297,189,42376
122,297,190,42814
122,298,188,43420
122,298,189,43372
122,298,190,43466
123,295,185,42616
123,295,186,42340
123,295,187,43002
123,296,185,43382
123,296,186,42712
123,296,187,42394
123,296,188,42266
123,296,189,43156
123,297,187,43400
123,297,188,43256
123,297,189,43248
123,297,190,43394
124,295,186,42886
124,295,187,43390
124,296,187,43396
124,296,188,43276
139,268,247,43276
139,269,248,43422
139,269,249,43130
139,269,250,43436
139,270,251,43142
139,270,252,43070
139,270,253,43192
139,270,254,43280
139,270,255,43262
140,267,246,43334
140,268,247,42966
140,268,248,43346
140,269,248,42840
140,269,249,43062
140,269,250,43430
140,270,250,42906
140,270,251,43060
140,270,252,43234
140,270,253,43386
140,270,254,43486
140,270,255,43454
141,266,245,43406
141,267,246,43202
141,268,247,43008
141,268,248,43472
141,269,248,42896
141,269,249,43332
141,270,249,43316
141,270,250,43212
141,270,251,43462
141,271,253,43460
141,271,254,43468
142,266,245,43370
142,267,246,43324
142,268,247,43266
142,269,248,43282
142,270,249,43418
143,266,245,43436
194,280,243,43398
195,280,242,43162
195,280,243,42976
195,280,244,43106
195,281,241,43068
195,281,242,43178
196,280,241,43488
196,280,242,43048
196,280,243,42832
196,280,244,42740
196,280,245,43262
