X,Y,Z,Cost
262,165,477,43394
262,165,478,43318
262,165,479,43442
262,166,478,43428
263,164,477,43392
263,164,478,43358
263,165,476,43466
263,165,477,43208
263,165,478,43118
263,165,479,43238
263,165,480,43426
263,166,477,43340
263,166,478,43196
263,166,479,43264
263,166,480,43410
264,164,477,43408
264,164,478,43354
264,165,476,43488
264,165,477,43200
264,165,478,43086
264,165,479,43196
264,165,480,43384
264,166,477,43300
264,166,478,43128
264,166,479,43182
264,166,480,43324
264,167,478,43410
264,167,479,43412
265,165,477,43410
265,165,478,43280
265,165,479,43384
265,166,477,43468
265,166,478,43278
265,166,479,43322
265,166,480,43460
265,167,478,43492
265,167,479,43480
266,165,478,43458
266,166,478,43406
266,166,479,43444
267,166,478,43426
267,166,479,43462
267,167,478,43466
267,167,479,43446
268,166,478,43454
268,166,479,43494
268,167,478,43416
268,167,479,43400
268,168,479,43478
269,167,478,43492
269,167,479,43490
269,168,479,43500
362,255,389,43460
363,102,327,43478
363,103,327,43350
363,104,327,43364
363,255,389,43470
364,101,326,43332
364,102,326,43216
364,102,327,43470
364,103,326,43132
364,103,327,43342
364,104,326,42870
364,104,327,43352
364,105,326,43074
365,101,325,43500
365,102,326,43294
365,103,326,43126
365,104,325,43204
365,104,326,43102
365,105,325,42906
365,105,326,43292
365,106,325,43334
366,103,325,43302
366,104,325,43252
366,105,324,43328
366,105,325,43416
444,207,427,43378
444,207,428,42846
444,207,429,42628
444,207,430,42760
444,207,431,43170
444,208,427,43166
444,208,428,42880
444,208,429,42932
444,208,430,43322
445,206,427,43248
445,206,428,42798
445,206,429,42632
445,206,430,42796
445,206,431,43240
445,207,426,43068
445,207,427,42276
445,207,428,41768
445,207,429,41556
445,207,430,41880
445,207,431,42450
445,207,432,43050
445,208,425,43400
445,208,426,42922
445,208,427,42486
445,208,428,42238
445,208,429,42310
445,208,430,42712
445,208,431,43250
445,209,428,43368
445,209,429,43374
446,205,428,43434
446,205,429,43336
446,206,426,43112
446,206,427,42420
446,206,428,41988
446,206,429,41832
446,206,430,42004
446,206,431,42446
446,206,432,43058
446,207,425,42988
446,207,426,42154
446,207,427,41390
446,207,428,40900
446,207,429,40888
446,207,430,41348
446,207,431,41944
446,207,432,42580
446,207,433,43106
446,207,434,43400
446,208,424,43344
446,208,425,42648
446,208,426,42242
446,208,427,41864
446,208,428,41654
446,208,429,41758
446,208,430,42190
446,208,431,42754
446,208,432,43342
446,209,427,43108
446,209,428,42806
446,209,429,42842
446,209,430,43232
447,205,427,43342
447,205,428,42984
447,205,429,42896
447,205,430,43124
447,206,425,43292
447,206,426,42556
447,206,427,41896
447,206,428,41480
447,206,429,41336
447,206,430,41520
447,206,431,41974
447,206,432,42598
447,206,433,43378
447,207,424,43214
447,207,425,42338
447,207,426,41536
447,207,427,40804
447,207,428,40522
447,207,429,40704
447,207,430,41188
447,207,431,41816
447,207,432,42490
447,207,433,43058
447,207,434,43404
447,208,424,42606
447,208,425,42244
447,208,426,41914
447,208,427,41610
447,208,428,41438
447,208,429,41578
447,208,430,42034
447,208,431,42630
447,208,432,43256
447,209,426,43290
447,209,427,42860
447,209,428,42596
447,209,429,42666
447,209,430,43080
448,205,427,43188
448,205,428,42846
448,205,429,42770
448,205,430,43010
448,206,425,43010
448,206,426,42306
448,206,427,41680
448,206,428,41282
448,206,429,41152
448,206,430,41350
448,206,431,41816
448,206,432,42444
448,206,433,43224
448,207,424,42834
448,207,425,41984
448,207,426,41214
448,207,427,40668
448,207,428,40614
448,207,429,40836
448,207,430,41352
448,207,431,42010
448,207,432,42716
448,207,433,43326
448,208,423,43112
448,208,424,42368
448,208,425,42154
448,208,426,41890
448,208,427,41662
448,208,428,41538
448,208,429,41718
448,208,430,42206
448,208,431,42832
448,208,432,43490
448,209,426,43266
448,209,427,42912
448,209,428,42696
448,209,429,42804
448,209,430,43250
449,205,427,43324
449,205,428,43002
449,205,429,42940
449,205,430,43186
449,206,425,43014
449,206,426,42344
449,206,427,41754
449,206,428,41378
449,206,429,41264
449,206,430,41470
449,206,431,41930
449,206,432,42546
449,206,433,43312
449,207,424,42736
449,207,425,41924
449,207,426,41188
449,207,427,40876
449,207,428,40866
449,207,429,41124
449,207,430,41664
449,207,431,42334
449,207,432,43048
449,208,423,42910
449,208,424,42426
449,208,425,42270
449,208,426,42052
449,208,427,41880
449,208,428,41798
449,208,429,42014
449,208,430,42526
449,208,431,43164
449,209,426,43438
449,209,427,43140
449,209,428,42966
449,209,429,43108
450,205,429,43456
450,206,425,43390
450,206,426,42754
450,206,427,42200
450,206,428,41844
450,206,429,41738
450,206,430,41922
450,206,431,42356
450,206,432,43016
450,207,424,43002
450,207,425,42240
450,207,426,41538
450,207,427,41318
450,207,428,41348
450,207,429,41636
450,207,430,42180
450,207,431,42848
450,208,423,43078
450,208,424,42682
450,208,425,42600
450,208,426,42438
450,208,427,42324
450,208,428,42280
450,208,429,42524
450,208,430,43040
450,209,428,43454
451,206,426,43474
451,206,427,42946
451,206,428,42600
451,206,429,42488
451,206,430,42652
451,206,431,43058
451,207,425,42876
451,207,426,42208
451,207,427,41858
451,207,428,41912
451,207,429,42216
451,207,430,42772
451,207,431,43446
451,208,424,43064
451,208,425,43048
451,208,426,42938
451,208,427,42864
451,208,428,42842
451,208,429,43100
452,206,429,43490
452,207,426,43146
452,207,427,42574
452,207,428,42516
452,207,429,42834
452,207,430,43412
452,208,426,43478
452,208,427,43440
452,208,428,43440
453,207,428,43392
453,207,429,43466
